0,1,2,3,4
2009 American League Pitcher Review Pitching Statistics League Leaderboard,2009 American League Pitcher Review Pitching Statistics League Leaderboard,2009 American League Pitcher Review Pitching Statistics League Leaderboard,2009 American League Pitcher Review Pitching Statistics League Leaderboard,2009 American League Pitcher Review Pitching Statistics League Leaderboard
Statistic,Name,Team,#,Top 25
Complete Games,Roy Halladay,Toronto,9,Top 25
ERA,Zack Greinke,Kansas City,2.16,Top 25
Games,Matt Guerrier,Minnesota,79,Top 25
Saves,Brian Fuentes,Los Angeles,48,Top 25
Shutouts,Roy Halladay,Toronto,4,Top 25
Strikeouts,Justin Verlander,Detroit,269,Top 25
Winning Percentage,Felix Hernandez,Seattle,.792,Top 25
Wins,Felix Hernandez,Seattle,19,Top 25
Wins,C.C. Sabathia,New York,19,Top 25
Wins,Justin Verlander,Detroit,19,Top 25
Statistic,Name,Team,#,Top 25
