0,1,2,3,4,5,6,7
2014 American League Team Standings 2014 All-Star Game | Team Standings | 2014 World Series,2014 American League Team Standings 2014 All-Star Game | Team Standings | 2014 World Series,2014 American League Team Standings 2014 All-Star Game | Team Standings | 2014 World Series,2014 American League Team Standings 2014 All-Star Game | Team Standings | 2014 World Series,2014 American League Team Standings 2014 All-Star Game | Team Standings | 2014 World Series,2014 American League Team Standings 2014 All-Star Game | Team Standings | 2014 World Series,2014 American League Team Standings 2014 All-Star Game | Team Standings | 2014 World Series,2014 American League Team Standings 2014 All-Star Game | Team Standings | 2014 World Series
East,Team | Roster,W,L,T,WP,GB,Payroll
East,Baltimore Orioles,96,66,0,.593,--,"$107,406,623"
East,New York Yankees,84,78,0,.518,12,"$203,812,506"
East,Toronto Blue Jays,83,79,0,.512,13,"$132,628,700"
East,Tampa Bay Rays,77,85,0,.475,19,"$77,062,891"
East,Boston Red Sox,71,91,0,.438,25,"$162,817,411"
Central,Team | Roster,W,L,T,WP,GB,Payroll
Central,Detroit Tigers,90,72,0,.556,--,"$162,228,527"
Central,Kansas City Royals,89,73,0,.549,1,"$92,034,345"
Central,Cleveland Indians,85,77,0,.525,5,"$82,534,800"
Central,Chicago White Sox,73,89,0,.451,17,"$91,159,254"
Central,Minnesota Twins,70,92,0,.432,20,"$85,776,500"
West,Team | Roster,W,L,T,WP,GB,Payroll
West,Los Angeles Angels,98,64,0,.605,--,"$155,692,000"
West,Oakland Athletics,88,74,0,.543,10,"$83,401,400"
West,Seattle Mariners,87,75,0,.537,11,"$92,081,943"
West,Houston Astros,70,92,0,.432,28,"$44,544,174"
West,Texas Rangers,67,95,0,.414,31,"$136,036,172"
A.L.,Team | Roster,W,L,T,WP,GB,Payroll
2014 American League Final Standings,2014 American League Final Standings,2014 American League Final Standings,2014 American League Final Standings,2014 American League Final Standings,2014 American League Final Standings,2014 American League Final Standings,2014 American League Final Standings
