0,1,2,3,4
2024 American League Pitcher Review ← 2023 | 2024 Pitching Statistics League Leaders | 2025 →,2024 American League Pitcher Review ← 2023 | 2024 Pitching Statistics League Leaders | 2025 →,2024 American League Pitcher Review ← 2023 | 2024 Pitching Statistics League Leaders | 2025 →,2024 American League Pitcher Review ← 2023 | 2024 Pitching Statistics League Leaders | 2025 →,2024 American League Pitcher Review ← 2023 | 2024 Pitching Statistics League Leaders | 2025 →
Statistic,Name,Team,#,Top 25
Complete Games,Kevin Gausman,Toronto,2,Top 25
ERA,Tarik Skubal,Detroit,2.39,Top 25
Games,T.J. McFarland,Oakland,79,Top 25
Saves,Emmanuel Clase,Cleveland,47,Top 25
Shutouts,Ronel Blanco,Houston,1,Top 25
Shutouts,Joey Estes,Oakland,1,Top 25
Shutouts,Kevin Gausman,Toronto,1,Top 25
Shutouts,Tanner Houck,Boston,1,Top 25
Shutouts,Keider Montero,Detroit,1,Top 25
Strikeouts,Tarik Skubal,Detroit,228,Top 25
Winning Percentage,Tarik Skubal,Detroit,.818,Top 25
Wins,Tarik Skubal,Detroit,18,Top 25
Statistic,Name,Team,#,Top 25
2024 A.L. History | 2024 N.L. History | Year-by-Year History,2024 A.L. History | 2024 N.L. History | Year-by-Year History,2024 A.L. History | 2024 N.L. History | Year-by-Year History,2024 A.L. History | 2024 N.L. History | Year-by-Year History,2024 A.L. History | 2024 N.L. History | Year-by-Year History
